Model,Params,Train Loss,Val Loss,Perplexity,Theoretical Weight Memory,Peak Runtime Memory,Train Tokens/sec,Inference tok/sec
Baseline FP,3,258,368,1.5805,1.7519,5.77,13.03 MB,n/a (CPU),5822,168.2
BitNet b1.58 Tiny,3,258,368,1.8195,1.9334,6.91,1.07 MB,n/a (CPU),5698,86.0
